ID,Reference,figure number,Ichnogenus,Period,Epoch,Group,SizeBin,CS,FL-CM
adams 2010 1,"Adams et al., 2010",Fig. 6,NA,Cretaceous,"Cretaceous, Early",Theropoda,The3,92.77,61.46
avanzini 2011 1,"Avanzini et al., 2012",Fig. 1A,Anchisauripus,Jurassic,"Jurassic, Late",Theropoda,The1,19.72,15.58
avanzini 2011 3,"Avanzini et al., 2012",Fig. 1B,NA,Jurassic,"Jurassic, Late",Theropoda,The2,33.77,20.23
barco 2005 1,"Barco et al., 2005",Fig. 3,Iberosauripus,Cretaceous,"Cretaceous, Early",Theropoda,The3,98.67,62.67
belvedere 2010 1,"Belvedere et al., 2010",Fig. 5B,Megalosauripus,Jurassic,"Jurassic, Late",Theropoda,The2,44.78,29.96
belvedere 2010 2,"Belvedere et al., 2010",Fig. 8D,NA,Jurassic,"Jurassic, Late",Theropoda,The2,35.06,23.4
belvedere 2010 3,"Belvedere et al., 2010",Fig. 4B,NA,Jurassic,"Jurassic, Late",Ornithischia,Orn2,40.8,23.09
calvo 1991 1,"Calvo, 1991",Fig. 9,Abelichnus,Cretaceous,NA,Theropoda,The3,63.09,39.16
calvo 1991 3,"Calvo, 1991",Fig. 4 (left),Limayichnus,Cretaceous,NA,Ornithischia,Orn3,91.58,57.3
castanera 2013 1,"Castanera et al., 2013a",Fig. 4D,NA,Cretaceous,"Cretaceous, Early",Ornithischia,Orn2,37.91,21.97
castanera 2013 2,"Castanera et al., 2013a",Fig. 7D,NA,Cretaceous,"Cretaceous, Early",Ornithischia,Orn2,37.71,22.28
castanera 2013b 1,"Castanera et al., 2013b",Fig. 6A (first track),NA,NA,NA,Ornithischia,Orn2,35.45,23.17
castanera 2013b 2,"Castanera et al., 2013b",Fig. 9B,NA,NA,NA,Ornithischia,Orn1,18.15,12.67
contessi 2013 1,"Contessi, 2013",Fig. 5K,NA,Cretaceous,"Cretaceous, Late",Theropoda,The1,24.91,17.27
currie 1991 1,"Currie et al., 1991",Fig. 4,Caririchnium,Cretaceous,NA,Ornithischia,Orn3,78.84,45.74
currie 1991 2,"Currie et al., 1991",Fig. 5,Hadrosauropodus,Cretaceous,"Cretaceous, Late",Ornithischia,Orn3,105.14,54.26
dalla-vecchia 2000 1,"Dalla Vecchia et al., 2000",Fig. 8C (PUII-T1-4),NA,Cretaceous,"Cretaceous, Early",Theropoda,The2,28.12,20.32
dalla-vecchia 2000 2,"Dalla Vecchia et al., 2000",Fig. 8D (SOLI-T1-7),NA,Cretaceous,"Cretaceous, Early",Theropoda,The2,27.13,19.28
dalla-vecchia 2000 3,"Dalla Vecchia et al., 2000",Fig. 8P (SOLII-189),NA,Cretaceous,"Cretaceous, Early",Theropoda,The1,24.06,17.54
